id;titulo;titulo_ingles;valoracion;generos;tipo
77;Mahou Shoujo Lyrical Nanoha A's;Magical Girl Lyrical Nanoha A's;8.06;Action|Comedy|Drama|Magic|Super Power;TV
79;Shuffle!;Shuffle!;7.22;Comedy|Drama|Ecchi|Fantasy|Harem|Magic|Romance|School|Seinen;TV
80;Mobile Suit Gundam;Mobile Suit Gundam;7.86;Action|Military|Sci-Fi|Space|Mecha;TV
81;Mobile Suit Gundam: The 08th MS Team;Mobile Suit Gundam: The 08th MS Team;8.09;Military|Sci-Fi|Adventure|Drama|Romance|Mecha;OVA
82;Mobile Suit Gundam 0080: War in the Pocket;Mobile Suit Gundam 0080: War in the Pocket;7.88;Military|Sci-Fi|Space|Drama|Mecha;OVA
83;Mobile Suit Gundam: The 08th MS Team - Miller's Report;;6.90;Military|Sci-Fi|Drama|Romance|Mecha;Movie
84;Mobile Suit Gundam 0083: Stardust Memory;Mobile Suit Gundam 0083: Stardust Memory;7.40;Military|Sci-Fi|Adventure|Space|Drama|Romance|Mecha;OVA
85;Mobile Suit Zeta Gundam;Mobile Suit Zeta Gundam;8.00;Military|Sci-Fi|Space|Drama|Romance|Mecha;TV
86;Mobile Suit Gundam ZZ;Mobile Suit Gundam ZZ;6.74;Space|Comedy|Mecha|Military|Drama|Sci-Fi;TV
87;Mobile Suit Gundam: Char's Counterattack;Mobile Suit Gundam: Char's Counterattack;7.75;Military|Sci-Fi|Space|Drama|Mecha;Movie
88;Mobile Suit Gundam F91;Mobile Suit Gundam F91;6.79;Drama|Mecha|Military|Sci-Fi|Space;Movie
89;Mobile Suit Victory Gundam;Mobile Suit V Gundam;6.86;Military|Sci-Fi|Space|Drama|Mecha;TV
90;Mobile Suit Gundam Wing;Mobile Suit Gundam Wing;7.83;Action|Military|Sci-Fi|Space|Drama|Mecha;TV
91;Mobile Suit Gundam Wing: Endless Waltz;Mobile Suit Gundam Wing: Endless Waltz;7.85;Action|Drama|Mecha|Military|Sci-Fi|Space;OVA
92;Kidou Shinseiki Gundam X;After War Gundam X;7.37;Adventure|Space|Mecha|Drama|Sci-Fi;TV
93;Mobile Suit Gundam SEED;Mobile Suit Gundam SEED;7.87;Action|Space|Mecha|Romance|Military|Drama|Sci-Fi;TV
94;Mobile Suit Gundam SEED Destiny;;7.30;Action|Space|Mecha|Romance|Military|Drama|Sci-Fi;TV
95;Turn A Gundam;∀ Gundam;7.73;Action|Military|Sci-Fi|Adventure|Space|Drama|Romance|Mecha;TV
96;Mobile Fighter G Gundam;Mobile Fighter G Gundam;7.60;Sci-Fi|Adventure|Space|Comedy|Sports|Drama|Romance|Martial Arts|Mecha;TV
97;Last Exile;Last Exile;7.89;Action|Sci-Fi|Adventure;TV
