id;titulo;titulo_ingles;valoracion;generos;tipo
5689;Eien no Filena;;5.84;Adventure|Drama|Fantasy;OVA
5690;Nodame Cantabile Finale;;8.33;Comedy|Josei|Music|Romance;TV
5691;Rekka no Honoo: Final Burning;Flame of Recca: Final Burning;7.14;Action|Adventure|Magic|Martial Arts|School|Sci-Fi|Super Power;Special
5693;Shinran-sama: Negai, Soshite Hikari;;6.26;Historical;OVA
5702;Sora wo Miageru Shoujo no Hitomi ni Utsuru Sekai;;7.21;Action|Super Power|Magic|Romance|Fantasy;TV
5710;Keroro Gunsou Movie 4: Gekishin Dragon Warriors de Arimasu!;;7.51;Comedy;Movie
5712;Tanoshii Muumin Ikka Bouken Nikki;;7.54;Kids|Slice of Life|Adventure|Fantasy;TV
5713;Minami-ke Betsubara;;7.56;Comedy|Slice of Life;OVA
5715;Arcade Gamer Fubuki Extra;;4.80;Action|Ecchi|Parody|Adventure|Game|Comedy|School;Special
5717;Kiniro no Corda: Secondo Passo;;7.22;Harem|Music|School|Shoujo;Special
5719;Sex Pistols;;6.87;Comedy|Drama|Supernatural|Yaoi;OVA
5723;Mobile Suit Gundam: More Information on the Universal Century;;6.20;Military|Sci-Fi|Space|Mecha;Special
5725;Kodai Ouja Kyouryuu King: Yokuryuu Densetsu;Dinosaur King D-Kids Adventure: Pterosaur Legend;6.34;Action|Adventure|Game|Kids|Sci-Fi;TV
5733;Okusama wa Joshikousei;;5.28;Romance|Hentai;OVA
5734;Tayutama: Kiss on My Deity;;6.86;Harem|Romance|Supernatural;TV
5742;Space Cobra Pilot;;6.63;Action|Adventure|Space|Sci-Fi;Special
5743;Saimin Ryoujoku Gakuen;;6.74;Hentai;OVA
5751;Tennis no Ouji-sama: Another Story - Kako to Mirai no Message;;7.77;Comedy|Sports|School|Shounen;OVA
5753;Precure All Stars Movie DX: Minna Tomodachi☆Kiseki no Zenin Daishuugou!;;7.39;Action|Fantasy|Magic|Shoujo;Movie
5755;Aoki Ryuusei SPT Layzner OVA;Blue Comet SPT Layzner;6.86;Action|Space|Mecha|Military|Sci-Fi|Shounen;OVA
5760;Dororo to Hyakkimaru;Dororo;7.24;Action|Adventure|Supernatural;TV
5762;15 Bishoujo Hyouryuuki;;6.94;Comedy|Harem|Hentai;OVA
5763;Uchuu Kuubo Blue Noah;Space Carrier Blue Noah;6.69;Action|Drama|Military|Sci-Fi|Space;TV
5764;Zero no Tsukaima: Princesses no Rondo - Yuuwaku no Sunahama;The Familiar of Zero: Rondo of the Princesses OVA;7.38;Comedy|Ecchi|Fantasy|Harem|Magic;Special
5772;Akaneiro ni Somaru Saka: Hardcore;Akane Iro ni Somaru Saka Hardcore OVA;6.50;Comedy|Ecchi|Harem|Romance;Special
5773;69 Pink Riders 2;69 Pink Riders 2;4.84;Hentai;OVA
5774;Seitokaichou ni Chuukoku;Hey, Class President!;7.27;Comedy|Drama|Romance|School|Yaoi;OVA
5781;Isekai no Seikishi Monogatari;Tenchi Muyo! War on Geminar;8.00;Action|Comedy|Ecchi|Fantasy|Harem|Mecha|School;OVA
5783;Koisuru Tenshi Angelique: Chibi Character Adventure;Loving Angel Angelique Chibi Adventure Special;6.09;Adventure|Comedy;Special
5784;Ai no Kusabi (2012);;6.86;Drama|Romance|Sci-Fi|Yaoi;OVA
5785;G-9;G-9;5.96;Fantasy;OVA
5799;Kaede New Town;;5.53;Comedy|Romance|School|Slice of Life;Movie
5802;Fantascope: Tylostoma;;6.82;Fantasy|Supernatural;OVA
5809;Kupu~!! Mamegoma!;;6.45;Kids;TV
5810;Sakuran Boy DT;;5.97;Comedy|Super Power;TV
5811;Nezumi no Rusuban;Home Alone Mice;4.56;Action;Movie
5812;Doubutsu Sumo Taikai;Animal Sumo;4.62;Action;Movie
5813;Urashima Tarou (1931);Taro Urashima;4.55;Action;Movie
5814;Dankichi-jima no Olympic Taikai;Olympic Games on Dankichi Island;4.30;Action|Sports;Movie
5819;Tori no Uta;"Bird's Song; Bird's Poem";6.51;Fantasy;OVA
5821;Zenmai Zamurai;;5.38;Comedy|Kids;TV
5826;Oira no Yakyuu;Our Baseball Match;5.40;Sports;Movie
5828;Kishin Douji Zenki Gaiden: Anki Kitan;;6.60;Action|Supernatural;OVA
5829;Blocker Gundan IV Machine Blaster;;6.26;Action|Mecha|Sci-Fi;TV
5830;Tsurupika Hagemaru-kun;Little Baldy Hagemaru;7.11;Kids|Comedy;TV
5832;Tiger Mask Nisei;;7.42;Action|Sports|Drama;TV
5833;Tondemo Senshi Muteking;;6.74;Action|Comedy|Kids|Magic|Mecha|Sci-Fi|Shounen|Super Power;TV
5834;Kyojin no Hoshi;;7.07;Drama|Sports;TV
5835;Hanasakeru Seishounen;;7.86;Drama|Romance|Shoujo;TV
5838;Furudera no Obake-soudou;Taro's Monster Hunt;5.00;Action|Adventure;Movie
5841;Yume wo Kanaeru Zou;;5.61;Comedy;TV
5842;Kotatsu Neko (ONA);;5.86;Comedy;ONA
5844;Pokemon: Pikachu no Obake Carnival;Pokemon: Pikachu's Ghost Festival!;6.44;Adventure|Comedy|Fantasy|Kids;Special
5845;Pokemon: Pikachu no Natsumatsuri;Pokemon: Pikachu's Summer Festival!;6.42;Action|Comedy|Fantasy|Kids;Special
5848;Cinnamon the Movie;Cinnamoroll: The Movie;6.37;Fantasy;Movie
5849;Zettai Karen Children Recap;Absolutely Lovely Children Recap;6.53;Action|Comedy|Shounen|Supernatural;Special
5854;Shin Chou Kyou Ryo: Condor Hero III;Legend of the Condor Hero III;7.54;Action|Adventure|Drama|Historical|Romance;TV
5859;Kiddy GiRL-AND Pilot;;6.81;Action|Super Power|Sci-Fi;OVA
5862;Fumoon;Fumoon;6.10;Sci-Fi;Special
5865;Nanaka 6/17 Special;Nanaka the Distraction;6.71;Comedy|Drama|Romance|Shounen|Slice of Life;Special
5868;Haru no Uta;Spring Song;4.65;Music;Movie
5869;Chou no Sainan;The Unlucky Butterfly;5.31;Action;Movie
5870;Hibari no Yadogae;The Larks' Moving Day;4.88;Action;Movie
5871;Norakuro Nitouhei: Kyouren no Maki;Private 2nd Class Norakuro: The Training;5.00;Action|Adventure;Movie
5872;Doubutsu Mura no Sports Day;Sports Day at Animal Village;5.05;Action;Movie
5873;Tarou-san no Kisha;Taro's Toy Train;5.43;Action;Movie
5874;Sankou to Tako: Hyakumanryou Chinsoudou;Sanko and the Octopus: A Fight Over a Fortune;5.16;Action;Movie
5875;Kobutori (1929);The Stolen Lump;5.94;Comedy|Demons;Movie
5876;Izumo;;5.96;Adventure|Historical|Fantasy;OVA
5877;Abunai Sisters: Koko & Mika;;2.61;Action|Comedy|Ecchi;OVA
5878;Love Position: Halley Densetsu;;5.73;Fantasy|Sci-Fi;OVA
5880;Oshiruko;Red Bean Soup;5.11;Comedy;ONA
5883;Examurai Sengoku;;6.50;Action|Sci-Fi|Martial Arts|Samurai;TV
5886;Kujira no Josephina;;6.38;Adventure|Fantasy;TV
5889;DragonBlade;DragonBlade: The Legend of Lang;5.89;Action|Fantasy;Movie
5890;Inko;The Sleazy Family (2);5.73;Hentai|Yuri;OVA
5891;Kousoku Denjin Albegus;;6.91;Mecha;TV
5895;Tistou Midori no Oyayubi;Tistou the Green Thumb;6.87;Historical|Magic;Movie
5900;Jean Valjean Monogatari;;6.34;Drama;Special
5902;Hyakujitsu no Bara;Maiden Rose;6.91;Drama|Yaoi;OVA
5904;B.B. Fish;;4.84;Drama|Romance|Seinen;OVA
5907;Mujigen Hunter Fandora;Dream Dimension Hunter Fandora;5.77;Adventure|Fantasy|Sci-Fi;OVA
5908;Chinpui;;6.20;Comedy;TV
5909;Seitokai no Ichizon;Student Council's Discretion;7.45;Harem|Comedy|Parody|School;TV
5914;Kanamemo;;6.96;Ecchi|Comedy|Slice of Life|Shoujo Ai;TV
5916;Donguri no Ie;;6.71;Drama;Movie
5917;Tsuru ni Notte: Tomoko no Bouken;On A Paper Crane: Tomoko's Adventure;6.45;Drama;Movie
5918;Deimos no Hanayome: Ran no Kumikyoku;Bride of Deimos;5.86;Mystery|Horror|Demons|Psychological|Supernatural|Drama|Magic|Fantasy|Shoujo;OVA
5920;Xanadu Dragonslayer Densetsu;;5.81;Adventure|Fantasy|Comedy;OVA
5921;Utsunomiko;;6.16;Adventure|Demons|Fantasy;Movie
5922;Tenjouhen: Utsunomiko;;6.71;Adventure|Demons|Fantasy;Movie
5923;Utsunomiko: Heaven Chapter;;6.02;Adventure|Demons|Fantasy;OVA
5924;Koushoku Ichidai Otoko;The Sensualist;6.16;Drama|Hentai|Historical|Psychological;OVA
5925;Neko Hiki no Oruorane;;6.24;Music|Fantasy;OVA
5926;Antique Heart;;5.57;Magic|Mystery|School;OVA
5927;Hoshi Neko Fullhouse;Star Cat Fullhouse;5.88;Sci-Fi|Comedy|Romance;OVA
5928;Kigyou Senshi Yamazaki: Long Distance Call;;5.92;Sci-Fi|Drama|Seinen;OVA
5929;Hi no Ame ga Furu;;7.47;Drama|Historical;Movie
5930;Hayou no Tsurugi: Shikkoku no Mashou;;6.00;Supernatural|Fantasy|Shoujo;OVA
5931;Ai to Ken no Camelot: Mangaka Marina Time Slip Jiken;Camelot;5.78;Adventure|Fantasy|Comedy;OVA
5933;Shiroi Kiba White Fang Monogatari;;6.43;Adventure|Historical|Drama;Special
5934;Greed;;5.43;Adventure|Fantasy;OVA
5935;Animation Kikou: Marco Polo no Bouken;Marco Polo's Adventures;6.36;Adventure|Historical;TV
5936;Hashire! Shiroi Ookami;White Fang;6.42;Drama;Movie
5938;Onegai♪My Melody Kirara★;;6.54;Fantasy|Magic|Comedy;TV
5940;Seiken no Blacksmith;The Sacred Blacksmith;6.89;Action|Adventure|Fantasy;TV
5941;Cross Game;Cross Game;8.49;Comedy|Sports|Drama|Romance|School|Shounen;TV
5943;The Aurora: Umi no Aurora;The Aurora;5.36;Adventure|Sci-Fi;Movie
5945;Element Hunters;;6.68;Sci-Fi|Shounen;TV
5947;Tengen Toppa Gurren Lagann Movie: Lagann-hen Special - Viral no Amai Yume;;7.40;Comedy;OVA
5953;Mahou no Princess Minky Momo: Yume wo Dakishimete;Magical Princess Minky Momo: Hold on to Your Dreams;6.81;Magic|Shoujo;TV
5955;Toaru Majutsu no Index-tan;A Certain Magical Index: Specials;7.06;Comedy|Parody;Special
5956;High School! Kimengumi (Movie);;6.36;Action|Comedy|Parody|Romance|School|Shounen;Movie
5957;Nyoro-n Churuya-san;Nyoron! Churuya-san;6.59;Comedy;ONA
5958;Sora no Otoshimono;Heaven's Lost Property;7.55;Sci-Fi|Harem|Comedy|Supernatural|Romance|Ecchi|Shounen;TV
5959;Mizugi Kanojo: The Animation;;7.43;Hentai;OVA
5962;Metal Fight Beyblade;Metal Fight Beyblade;6.69;Adventure|Comedy|Sports;TV
5967;Kinnikuman II Sei: Ultimate Muscle;;6.97;Action|Comedy|Martial Arts|Sci-Fi|Shounen|Sports;TV
5968;Kinnikuman II Sei: Ultimate Muscle 2;;7.04;Action|Sci-Fi|Comedy|Sports|Martial Arts|Shounen;TV
5973;Fight Ippatsu! Juuden-chan!!;Juden Chan Recharged;6.75;Ecchi|Comedy|Sci-Fi|Shounen;TV
5978;Kannagi: Moshimo Kannagi ga Attara...;;7.13;Comedy|School|Shounen|Supernatural;Special
5983;Higepiyo;;7.19;Comedy;TV
5984;Ristorante Paradiso;;7.44;Drama|Josei|Romance|Slice of Life;TV
5986;Tengai Makyou: Jiraiya Oboro-hen;;6.40;Adventure|Fantasy;OVA
5987;Marin to Yamato: Fushigi na Nichiyoubi;;5.42;Kids;OVA
5990;Cosmic Fantasy: Ginga Mehyou no Wana;;5.53;Action|Sci-Fi|Space|Comedy|Romance|Fantasy;OVA
5992;Tsuyoshi Shikkari Shinasai;;6.94;Comedy|Drama|Romance|School|Shounen|Slice of Life;TV
5993;Samayou Midara na Lunatics;;6.44;Hentai;OVA
5994;Midoriyama Koukou Koushien-hen;;6.87;Comedy|School|Sports;OVA
5996;Tennis no Ouji-sama: Oshougatsu Special;;6.96;Action|Comedy|Sports|Shounen;Special
5997;Sabu to Ichi Torimono Hikae;Sabu & Ichi's Arrest Warrant;6.60;Action|Slice of Life|Adventure|Police|Martial Arts|Samurai|Historical|Drama|Shounen;TV
5998;Hottarake no Shima: Haruka to Mahou no Kagami;Oblivion Island: Haruka and the Magic Mirror;7.50;Fantasy;Movie
6000;Haruwo;;4.51;Action;OVA
6007;Ookami to Koushinryou II: Ookami to Kohakuiro no Yuuutsu;;7.95;Adventure|Historical|Romance|Fantasy;OVA
6008;Jewelpet;Jewelpet;6.78;Fantasy|Magic|Shoujo;TV
6012;Kinpatsu no Jeanie;;6.26;Historical|Drama;TV
6015;Megami Tantei Vinus File;Detective Goddess;5.47;Hentai;OVA
6016;Kyoushoku Soukou Guyver (1989);The Guyver: Bio-Booster Armor;7.25;Action|Horror|Sci-Fi|Super Power;OVA
6018;Patchin shite! Obaachan;;6.67;Drama;Movie
6023;Nogizaka Haruka no Himitsu: Purezza;;7.26;Comedy|Ecchi|Romance;TV
6024;Chi's Sweet Home: Atarashii Ouchi;Chi's New Address;7.85;Comedy|Kids|Slice of Life;TV
6025;Battle Can²;Battle Can2;4.39;Action|Hentai|Sci-Fi;OVA
6028;Dr. Slump Movie 04: Arale-chan Hoyoyo! Nanaba Shiro no Hihou;Dr. Slump and Arale-chan: Hoyoyo! The Treasure of Nanaba Castle;6.53;Sci-Fi|Comedy|Shounen;Movie
6030;Needless;Needless;7.37;Action|Sci-Fi|Comedy|Super Power|Ecchi|Seinen;TV
6031;Osu!! Karate-bu;Go!! Karate Club;6.88;Martial Arts|School|Shounen;OVA
6032;Aquarion Movie: Ippatsu Gyakuten-hen;;6.85;Fantasy|Mecha|Drama;Movie
6033;Dragon Ball Kai;Dragon Ball Z Kai;7.89;Action|Adventure|Comedy|Fantasy|Martial Arts|Shounen|Super Power;TV
6038;Transformers Zone;Transformers: Zone;5.73;Mecha|Sci-Fi;OVA
6041;Honoo no Haramase Doukyuusei;;6.82;Harem|Hentai|School|Yuri;OVA
6045;Kimi ni Todoke;Kimi ni Todoke: From Me to You;8.12;Slice of Life|Drama|Romance|School|Shoujo;TV
6046;Tales of Vesperia: The First Strike;Tales of Vesperia ~The First Strike~;7.71;Action|Adventure|Fantasy|Magic|Military;Movie
6050;Mahou Sensei Negima! Mou Hitotsu no Sekai;;7.75;Action|Adventure|Ecchi|Magic|Shounen|Supernatural;OVA
6055;F;;6.92;Cars|Sports|Shounen;TV
6056;Sasuke;;6.79;Action|Martial Arts|Historical|Shounen;TV
6060;Ichigatsu ni wa Christmas;Christmas in January;6.07;Romance;OVA
6061;Maryuu Senki;;5.45;Fantasy|Horror;OVA
6062;Duel Masters Movie 2: Lunatic God Saga;;6.17;Action|Adventure|Comedy|Shounen;Movie
6063;Penguin no Mondai Movie;;4.67;Comedy|Kids;Movie
6064;Higurashi no Naku Koro ni Kai Specials;;7.41;Comedy|Parody;Special
6065;Lemon Angel YJ-ban;;5.90;Romance|School;OVA
6067;Moeru! Oniisan;The Burning Wild Man;7.26;Action|Adventure|Comedy;TV
6068;Sensei no Ojikan: Doki Doki School Hours OVA;;6.67;Comedy|School;OVA
6069;Gregory Horror Show;Gregory Horror Show;6.77;Mystery|Comedy|Horror|Demons|Supernatural|Vampire;TV
6071;Juuippiki no Neko;Eleven Cats;5.99;Fantasy;Movie
6072;Juuippiki no Neko to Ahoudori;Eleven Cats and an Albatross;5.77;Kids|Adventure|Fantasy;Movie
6073;21 Emon Uchuu e Irasshai!;;5.56;Space|Comedy|Sci-Fi;Movie
6074;21 Emon Uchuu ike! Hadashi no Princess;21-Emon: To Space! The Barefoot Princess;6.03;Space|Comedy|Sci-Fi;Movie
6075;Ai no Wakakusa Yama Monogatari;;6.30;Comedy;TV
6076;"""Eiji""";;5.92;Comedy|Drama|Sports;OVA
6077;Akubi Girl;;6.10;Comedy|Fantasy;TV
6078;Al Caral no Isan;Legacy of Aru Kararu;5.56;Sci-Fi|Space|Seinen;OVA
6087;Jetter Mars;;6.68;Action|Drama|Mecha|Sci-Fi;TV
6090;Hon Ran;Crimson Wolf;5.16;Action|Magic|Martial Arts;OVA
6091;Shiritsutantei: Toki Shouzou Trouble Note - Hard & Loose;;5.82;Action|Mystery;OVA
6093;Anmitsu Hime;Princess Anmitsu;6.49;Comedy|Historical|Shoujo;TV
6094;A Piece of Phantasmagoria;;6.23;Fantasy|Kids;OVA
6095;Azuki-chan the Movie;;6.10;Comedy|Romance|Shoujo|Slice of Life;Movie
6096;Bad Boys;;6.23;Action|Comedy|Seinen;OVA
6097;Heisei Harenchi Gakuen;;5.46;Comedy|Hentai|School;OVA
6098;Sora no Manimani;At The Mercy of The Sky;7.14;Slice of Life|Comedy|Romance|School|Seinen;TV
6107;Aruhi no Clamp Gakuen Tanteidan;CLAMP School Detectives Shorts;6.32;Comedy;Special
6112;Shin Koihime†Musou;;6.93;Comedy|Ecchi|Fantasy|Historical;TV
6114;Rainbow: Nisha Rokubou no Shichinin;Rainbow;8.58;Drama|Historical|Seinen|Thriller;TV
6115;Lupin III vs. Detective Conan;;7.86;Action|Adventure|Comedy|Mystery|Shounen;Special
6116;Mainichi Kaasan;Kaasan: Mom's Life;7.57;Slice of Life|Comedy;TV
6117;Gokujou!! Mecha Mote Iinchou;The Best!! Extremely Cool Student Council President;6.64;Comedy|Romance|School|Shoujo;TV
6119;Cookin' Idol Ai! Mai! Main!;;6.38;Comedy|Kids;TV
6120;Mitama: Nin;;5.93;Demons|Hentai|Martial Arts|Yuri;OVA
6122;Jinkou Shoujo: Henshin Sex Android;Cosplay Sex Machine;6.78;Hentai;OVA
6124;Toshishun;;6.06;Adventure|Drama|Fantasy|Historical|Supernatural;Special
6127;Toradora!: SOS!;Toradora! SOS! Hooray for Foodies;6.42;Comedy;Special
6129;Umi Monogatari: Anata ga Ite Kureta Koto;Umi Monogatari;6.72;Supernatural|Drama|Magic|Romance|Fantasy;TV
6130;Marie & Gali;;6.41;Comedy;TV
6131;Charady no Joke na Mainichi;;5.41;Comedy;TV
6133;Violence Gekiga Shin David no Hoshi: Inma Densetsu;;5.26;Hentai;OVA
6137;Tsuki no Waltz;;6.61;Music;Music
6148;Yurumates;;6.45;Slice of Life|Comedy|Seinen;OVA
6149;Chibi Maruko-chan (1995);Little Miss Maruko;7.32;Comedy|Kids|School|Slice of Life;TV
6150;Hong Xing Xiao Yong Shi;Sparkling Red Star;6.10;Historical|Kids|Slice of Life;Movie
6151;Final Fantasy VII: On the Way to a Smile - Episode: Denzel;;7.19;Action|Fantasy|Super Power;OVA
6152;Final Fantasy VII: Advent Children - Venice Film Festival Footage;Final Fantasy VII: Advent Children - Venice Film Festival Footage;7.64;Action|Fantasy|Drama|Sci-Fi;Movie
6153;Saint Seiya Recap;Saint Seiya: Summary;7.39;Sci-Fi|Adventure|Fantasy|Shounen;Special
6154;Saint Seiya: The Hades Chapter Sanctuary - Yomigaerishi Gold Saint-tachi no Shinwa;;7.89;Adventure|Sci-Fi|Shounen;Special
6156;Xi Yang Yang Yu Hui Tai Lang: Zhi Niu Qi Chong Tian;Pleasant Goat and Big Big Wolf: The Super Snail Adventure;5.70;Adventure|Comedy|Kids;Movie
6162;Tailenders;;6.81;Action|Adventure|Cars|Sci-Fi;Movie
6163;Kuroshitsuji Recap;;7.31;Action|Demons|Supernatural|Fantasy|Shounen;Special
6164;Aoi Hana;Sweet Blue Flowers;7.24;Romance|Slice of Life|Shoujo Ai;TV
6165;White Album 2nd Season;White Album Season 2;6.96;Drama|Harem|Music|Romance;TV
6166;Asobi ni Iku yo!;Cat Planet Cuties;6.79;Comedy|Ecchi|Harem|Romance|Sci-Fi;TV
6169;Tenjoubito to Akutobito Saigo no Tatakai;;7.24;Action|Fantasy|Magic|Super Power|Supernatural;Movie
6171;Saint Seiya: The Lost Canvas - Meiou Shinwa;Saint Seiya: The Lost Canvas;8.14;Action|Adventure|Martial Arts|Shounen|Super Power|Supernatural;OVA
6172;Layton Kyouju to Eien no Utahime;Professor Layton and the Eternal Diva;7.67;Mystery;Movie
6178;Pokemon Diamond & Pearl: Arceus Choukoku no Jikuu e;Pokemon: Arceus and the Jewel of Life;7.11;Action|Adventure|Comedy|Drama|Fantasy|Kids;Movie
6181;Highway Jenny;;5.18;Fantasy;OVA
6182;Maihime;;6.92;Historical|Drama|Romance;OVA
6183;You Shoumei Bijutsukan Line;Yoh Shomei Art Gallery Line;5.33;Fantasy;OVA
6184;Makaryuudo Demon Hunter;;5.50;Supernatural|Demons;OVA
6187;Nodame Cantabile OVA;;7.54;Comedy|Josei|Music|Romance|Slice of Life;OVA
6189;Baton;;5.82;Adventure|Sci-Fi;Movie
6194;Stretta The Animation;;7.03;Hentai;OVA
6195;Rita to Nantoka;Rita et Machin;6.02;Slice of Life;TV
6198;Detective Conan OVA 08: High School Girl Detective Sonoko Suzuki's Case Files;;7.28;Police|Comedy|Mystery|Shounen;OVA
6199;Mai-Otome Zwei Special;;6.82;Magic;Special
6201;Princess Lover!;;6.94;Harem|Comedy|Ecchi|School;TV
6202;Daisetsusan no Yuusha Kibaou;King Fang;7.06;Adventure|Drama;Special
6203;Sasameki Koto;Whispered Words;7.17;Comedy|Romance|School|Shoujo Ai;TV
6205;Kämpfer;Kämpfer;6.62;Action|Comedy|Ecchi|Romance|School|Shoujo Ai|Super Power;TV
6206;La Vilaine LuLu;;5.55;Comedy;Special
6209;Macross 7 Plus;;6.89;Music|Slice of Life|Space|Mecha;Special
6211;Tokyo Magnitude 8.0;Tokyo Magnitude 8.0;8.14;Drama;TV
6213;Toaru Kagaku no Railgun;A Certain Scientific Railgun;7.82;Action|Sci-Fi|Super Power;TV
6215;Dr.;;6.20;Action|Adventure|Magic|Super Power|Music|Sci-Fi;Music
6217;Crayon Shin-chan Movie 03: Unkokusai no Yabou;;7.08;Sci-Fi|Comedy|Historical|Seinen;Movie
6219;Nijiiro Hotaru: Eien no Natsuyasumi;;7.09;Fantasy|Romance|Slice of Life;Movie
6220;Musuko no Tomodachi ni Okasarete;The Cougar Trap;6.42;Hentai;OVA
6226;Utawarerumono Recaps;;6.53;Action|Drama|Fantasy;Special
6227;Lovedol: Lovely Idol OVA;Lovedol ~Lovely Idol~;6.23;Comedy|Drama|Ecchi|Harem|Music;OVA
6229;Konpeki no Kantai;;6.47;Action|Drama|Historical|Military;OVA
6230;Kyokujitsu no Kantai;The Fleet of the Rising Sun;6.65;Action|Drama|Historical|Military;OVA
6231;Detective Conan Magic File 3: Shinichi and Ran - Memories of Mahjong Tiles and Tanabata;;7.54;Mystery|Shounen;OVA
6234;True Tears Specials;;6.39;Parody|Comedy|School;Special
6235;Immoral;;6.33;Hentai;OVA
6245;Spirit of Wonder: China-san Tanpenshuu;Spirit of Wonder: China-san Short Stories;6.74;Comedy|Sci-Fi|Seinen;Special
6246;Black Jack: Sora kara Kita Kodomo;;6.87;Drama;OVA
6251;Sketchbook: Full Color's Picture Drama;;6.45;Slice of Life|Comedy;Special
6261;Koguma no Misha;;6.37;Kids|Adventure|Comedy|Drama;TV
6262;Manga Sekai Mukashibanashi;Manga Fairy Tales of the World;7.21;Adventure|Fantasy|Historical|Drama;TV
6266;Joseito;School Girl;5.60;Drama|School|Slice of Life;OVA
6267;Eko Eko Azarak;;5.98;Fantasy|Horror|Magic;OVA
6268;Sekishoku Elegy;;6.09;Romance;OVA
6270;Neko Machi;Cat City;6.47;Fantasy|Horror;OVA
6271;Gendai Kibunroku Kaii Monogatari;Strange Tales of Modern Mysterious Events;6.29;Horror;OVA
6272;Zakuro Yashiki;;6.20;Historical;OVA
6273;Tsuyu no Hito Shizuku;A Drop of Dew: Shouji Ueda's Photographs that Woke the World;6.39;Historical;OVA
6275;Pokemon Fushigi no Dungeon: Sora no Tankentai - Toki to Yami wo Meguru Saigo no Bouken;Pokemon Mystery Dungeon: The Final Adventure Through Time and Darkness;6.81;Adventure|Fantasy|Kids;Special
6276;Umezu Kazuo no Noroi;The Curse of Kazuo Umezu;6.23;Horror;OVA
6277;Manga Nippon Mukashibanashi (1976);;6.41;Fantasy|Historical;TV
6280;Cat Shit One;;7.12;Action|Fantasy|Military;ONA
6281;Asylum Session;The Asylum Session;5.10;Sci-Fi|Seinen;Movie
6286;Anata no Shiranai Kangofu: Seiteki Byoutou 24 Ji;;6.17;Hentai|Yuri;OVA
6287;Akikan!: Kan Ippatsu!? Onsen Panic;Akikan! OVA;6.34;Ecchi|Comedy;OVA
6288;Mobile Suit Gundam 00 The Movie: A Wakening of the Trailblazer;;7.37;Action|Mecha|Sci-Fi|Space;Movie
6291;Full Metal Panic! The Second Raid Episode 000;;7.50;Action|Military|Adventure|Mecha;Special
6293;Koukou Butouden Crows;Crows;6.97;Action|School|Shounen;OVA
6297;Kamen Rider Den-O: Imagin Anime 2;;6.72;Action|Adventure|Comedy|Kids|Super Power;OVA
6299;Maria-sama ga Miteru 4th Specials;Keep it a Secret from Maria-sama;7.34;Comedy;Special
6303;Perman;;6.52;Adventure|Comedy;TV
6305;Life no Color;;5.61;Music|School;Movie
6310;Kinnikuman II Sei: Second Generations;;6.50;Comedy;Movie
6311;Sarutobi Ecchan;Sarutobi Ecchan;6.02;Comedy|Kids|Magic|School;TV
6312;Taiho Shichau zo: Full Throttle Special;You're Under Arrest: Full Throttle Special;7.15;Action|Adventure|Comedy|Police;Special
6318;Kigurumikku V3;;5.34;Comedy|Ecchi|Magic|Mecha|Parody;ONA
6324;Omamori Himari;Omamori Himari;7.09;Action|Harem|Comedy|Demons|Supernatural|Romance|Ecchi|Fantasy;TV
6325;Naruto: Shippuuden Movie 3 - Hi no Ishi wo Tsugu Mono;;7.46;Action|Comedy|Martial Arts|Shounen|Super Power;Movie
6327;Miracle Train: Chuo-sen e Youkoso;Miracle Train: Welcome to the Chuo Line;6.15;Fantasy|Shoujo;Special
6328;Bondage Game: Shinsou no Reijoutachi - Shinsou no Doreitachi;;5.40;Hentai|Psychological;Special
6330;Shakugan no Shana: Friagne to Marianne no Naze Nani Shana! Nandemo Shitsumonbako!;;6.79;Comedy|Fantasy|Supernatural;Special
6331;Ten Little Gall Force;;6.28;Action|Military|Sci-Fi|Space|Comedy|Parody|Mecha;OVA
6336;Mobile Suit Gundam Unicorn;Mobile Suit Gundam Unicorn;8.28;Action|Drama|Mecha|Military|Sci-Fi|Space;OVA
6337;Hitoriga The Animation;;6.46;Hentai;OVA
6344;Shikabane Hime: Kuro – Soredemo, Hito to Shite;Corpse Princess: Kuro - Even So, As a Person;7.07;Action|Adventure|Horror|Supernatural|Drama;Special
6346;Cherry no Manma;Cherry no Manma;4.88;Comedy|Romance|Shoujo;OVA
6347;Baka to Test to Shoukanjuu;Baka & Test - Summon the Beasts;7.75;Comedy|Romance|School|Super Power;TV
6351;Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen;Clannad ~After Story~: Another World, Kyou Chapter;7.96;Drama|Romance|School;Special
6355;Marie & Gali Episode Zero;;5.86;Comedy;Special
6361;ef: A Tale of Memories. - Prologue;;7.18;Drama|Music;Special
6366;Karuizawa Syndrome;;5.98;Action|Slice of Life|Comedy|Drama;OVA
6368;Legend of Regios;Legend of Regios;6.60;Magic;Special
6372;Higashi no Eden Movie I: The King of Eden;Eden of The East the Movie I: The King of Eden;7.68;Comedy|Drama|Mystery|Romance|Slice of Life|Thriller;Movie
6374;Kagaku Ninja-tai Gatchaman II;Eagle Riders;6.52;Action|Adventure|Sci-Fi|Shounen;TV
6375;Kagaku Ninja-tai Gatchaman F;Eagle Riders (2);6.55;Action|Adventure|Sci-Fi|Shounen;TV
6377;Zan Sayonara Zetsubou Sensei;;7.96;Comedy|Parody|School|Shounen;TV
